name,mpg,cylinders,displacement,horsepower,weight,model_year,origin,acceleration
chevrolet chevelle malibu,0.23936170212765956,1.0,0.6175710594315245,130.0,3504.0,0.0,usa,12.0
buick skylark 320,0.1595744680851064,1.0,0.7286821705426356,165.0,3693.0,0.0,usa,11.5
plymouth satellite,0.23936170212765956,1.0,0.6459948320413438,150.0,3436.0,0.0,usa,11.0
amc rebel sst,0.18617021276595744,1.0,0.6098191214470284,150.0,3433.0,0.0,usa,12.0
ford torino,0.2127659574468085,0.49030612244897964,0.6046511627906976,140.0,3449.0,0.0,usa,10.5
ford galaxie 500,0.1595744680851064,1.0,0.9328165374677003,198.0,4341.0,0.0,usa,10.0
chevrolet impala,0.13297872340425532,1.0,0.9974160206718345,220.0,,0.0,usa,9.0
plymouth fury iii,0.13297872340425532,1.0,0.9612403100775194,215.0,4312.0,0.0,usa,8.5
pontiac catalina,0.13297872340425532,1.0,1.0,104.31770833333333,4425.0,0.0,usa,10.0
amc ambassador dpl,0.1595744680851064,1.0,0.8320413436692506,190.0,3850.0,0.0,usa,8.5
dodge challenger se,0.1595744680851064,1.0,0.813953488372093,170.0,3563.0,0.0,usa,10.0
plymouth 'cuda 340,0.13297872340425532,1.0,0.702842377260982,160.0,3609.0,0.0,usa,8.0
chevrolet monte carlo,0.1595744680851064,0.49030612244897964,0.8578811369509044,150.0,3761.0,0.0,usa,9.5
buick estate wagon (sw),0.13297872340425532,1.0,1.0,225.0,3086.0,0.0,usa,10.0
toyota corona mark ii,0.3989361702127659,0.2,0.1162790697674419,95.0,2372.0,0.0,japan,15.0
amc hornet,0.23936170212765956,0.6,0.3385012919896641,97.0,2774.0,0.0,usa,15.5
ford maverick,0.3191489361702127,0.6,0.3410852713178295,85.0,2587.0,0.0,usa,16.0
datsun pl510,0.4787234042553191,0.2,0.07493540051679592,88.0,2130.0,0.0,japan,14.5
volkswagen 1131 deluxe sedan,0.45212765957446804,0.2,0.07493540051679592,104.31770833333333,1835.0,0.0,europe,20.5
peugeot 504,0.42553191489361697,0.2,0.10852713178294576,87.0,2672.0,0.0,europe,17.5
audi 100 ls,0.3989361702127659,0.2,0.10077519379844965,90.0,2430.0,0.0,europe,14.5
saab 99e,0.42553191489361697,0.2,0.09302325581395351,95.0,2375.0,0.0,europe,17.5
amc gremlin,0.3191489361702127,0.6,0.3385012919896641,90.0,2648.0,0.0,usa,15.0
ford f250,0.026595744680851074,1.0,0.7545219638242895,215.0,4615.0,0.0,usa,14.0
chevy c20,0.026595744680851074,1.0,0.6175710594315245,200.0,4376.0,0.0,usa,15.0
dodge d200,0.05319148936170215,1.0,0.6459948320413438,210.0,4382.0,0.0,usa,13.5
hi 1200d,0.0,1.0,0.6098191214470284,193.0,4732.0,0.0,usa,18.5
datsun pl510,0.4787234042553191,0.2,0.07493540051679592,88.0,2130.0,0.08333333333333331,japan,14.5
chevrolet vega 2300,0.5053191489361701,0.2,0.186046511627907,90.0,2264.0,0.08333333333333331,usa,15.5
toyota corona,0.42553191489361697,0.2,0.1162790697674419,95.0,2228.0,0.08333333333333331,japan,14.0
ford pinto,0.42553191489361697,0.2,0.07751937984496127,104.31770833333333,2046.0,0.08333333333333331,usa,19.0
amc gremlin,0.26595744680851063,0.6,0.42377260981912146,100.0,2634.0,0.08333333333333331,usa,13.0
plymouth satellite custom,0.18617021276595744,0.6,0.40568475452196384,105.0,3439.0,0.08333333333333331,usa,15.5
chevrolet chevelle malibu,0.2127659574468085,0.6,0.4702842377260982,100.0,3329.0,0.08333333333333331,usa,15.5
ford torino 500,0.26595744680851063,0.6,0.4702842377260982,88.0,3302.0,0.08333333333333331,usa,15.5
amc matador,0.23936170212765956,0.6,0.42377260981912146,100.0,3288.0,0.08333333333333331,usa,15.5
chevrolet impala,0.13297872340425532,1.0,0.7286821705426356,165.0,4209.0,0.08333333333333331,usa,12.0
pontiac catalina brougham,0.13297872340425532,1.0,0.8578811369509044,175.0,4464.0,0.08333333333333331,usa,11.5
ford galaxie 500,0.13297872340425532,1.0,0.7312661498708011,153.0,4154.0,0.08333333333333331,usa,13.5
plymouth fury iii,0.13297872340425532,1.0,0.6459948320413438,150.0,4096.0,0.08333333333333331,usa,13.0
dodge monaco (sw),0.07978723404255322,1.0,0.813953488372093,180.0,4955.0,0.08333333333333331,usa,11.5
ford country squire (sw),0.10638297872340424,1.0,0.8578811369509044,170.0,4746.0,0.08333333333333331,usa,12.0
pontiac safari (sw),0.10638297872340424,1.0,0.8578811369509044,175.0,5140.0,0.08333333333333331,usa,12.0
amc hornet sportabout (sw),0.23936170212765956,0.6,0.4909560723514212,110.0,2962.0,0.08333333333333331,usa,13.5
chevrolet vega (sw),0.3457446808510638,0.2,0.186046511627907,72.0,2408.0,0.08333333333333331,usa,19.0
pontiac firebird,0.26595744680851063,0.6,0.4702842377260982,100.0,3282.0,0.08333333333333331,usa,15.0
ford mustang,0.23936170212765956,0.6,0.4702842377260982,88.0,3139.0,0.08333333333333331,usa,14.5
mercury capri 2000,0.3723404255319149,0.2,0.13953488372093026,86.0,2220.0,0.08333333333333331,usa,14.0
opel 1900,0.5053191489361701,0.2,0.12403100775193804,90.0,2123.0,0.08333333333333331,europe,14.0
peugeot 304,0.5585106382978723,0.2,0.028423772609819153,70.0,2074.0,0.08333333333333331,europe,19.5
fiat 124b,0.5585106382978723,0.2,0.05167958656330751,76.0,2065.0,0.08333333333333331,europe,14.5
toyota corolla 1200,0.5851063829787233,0.2,0.007751937984496138,65.0,1773.0,0.08333333333333331,japan,19.0
datsun 1200,0.6914893617021276,0.2,0.010335917312661536,69.0,1613.0,0.08333333333333331,japan,18.0
volkswagen model 111,0.4787234042553191,0.2,0.07493540051679592,60.0,1834.0,0.08333333333333331,europe,19.0
plymouth cricket,0.45212765957446804,0.2,0.05943152454780365,70.0,1955.0,0.08333333333333331,usa,20.5
toyota corona hardtop,0.3989361702127659,0.2,0.1162790697674419,95.0,2278.0,0.16666666666666669,japan,15.5
dodge colt hardtop,0.42553191489361697,0.2,0.0762273901808786,80.0,2126.0,0.16666666666666669,usa,17.0
volkswagen type 3,0.3723404255319149,0.2,0.07493540051679592,54.0,2254.0,0.16666666666666669,europe,23.5
chevrolet vega,0.29255319148936165,0.2,0.186046511627907,90.0,2408.0,0.16666666666666669,usa,19.5
ford pinto runabout,0.3191489361702127,0.2,0.13953488372093026,86.0,2226.0,0.16666666666666669,usa,16.5
chevrolet impala,0.10638297872340424,1.0,0.7286821705426356,165.0,4274.0,0.16666666666666669,usa,12.0
pontiac catalina,0.13297872340425532,1.0,0.8578811369509044,175.0,4385.0,0.16666666666666669,usa,12.0
plymouth fury iii,0.1595744680851064,1.0,0.6459948320413438,150.0,4135.0,0.16666666666666669,usa,13.5
ford galaxie 500,0.13297872340425532,1.0,0.7312661498708011,153.0,4129.0,0.16666666666666669,usa,13.0
amc ambassador sst,0.2127659574468085,1.0,0.6098191214470284,150.0,3672.0,0.16666666666666669,usa,11.5
mercury marquis,0.05319148936170215,1.0,0.9328165374677003,208.0,4633.0,0.16666666666666669,usa,11.0
buick lesabre custom,0.10638297872340424,1.0,0.7286821705426356,155.0,4502.0,0.16666666666666669,usa,13.5
oldsmobile delta 88 royale,0.07978723404255322,1.0,0.7286821705426356,160.0,4456.0,0.16666666666666669,usa,13.5
chrysler newport royal,0.10638297872340424,1.0,0.8578811369509044,190.0,4422.0,0.16666666666666669,usa,12.5
mazda rx2 coupe,0.26595744680851063,0.0,0.00516795865633074,97.0,2330.0,0.16666666666666669,japan,13.5
amc matador (sw),0.1595744680851064,1.0,0.6098191214470284,150.0,3892.0,0.16666666666666669,usa,12.5
chevrolet chevelle concours (sw),0.10638297872340424,1.0,0.6175710594315245,130.0,4098.0,0.16666666666666669,usa,14.0
ford gran torino (sw),0.10638297872340424,1.0,0.6046511627906976,140.0,4294.0,0.16666666666666669,usa,16.0
plymouth satellite custom (sw),0.13297872340425532,1.0,0.6459948320413438,150.0,4077.0,0.16666666666666669,usa,14.0
volvo 145e (sw),0.23936170212765956,0.2,0.1369509043927649,112.0,2933.0,0.16666666666666669,europe,14.5
volkswagen 411 (sw),0.3457446808510638,0.2,0.1369509043927649,76.0,2511.0,0.16666666666666669,europe,18.0
peugeot 504 (sw),0.3191489361702127,0.2,0.13436692506459952,87.0,2979.0,0.16666666666666669,europe,19.5
renault 12 (sw),0.45212765957446804,0.2,0.07235142118863053,69.0,2189.0,0.16666666666666669,europe,18.0
ford pinto (sw),0.3457446808510638,0.2,0.13953488372093026,86.0,2395.0,0.16666666666666669,usa,16.0
datsun 510 (sw),0.5053191489361701,0.2,0.07493540051679592,92.0,2288.0,0.16666666666666669,japan,17.0
toyouta corona mark ii (sw),0.3723404255319149,0.2,0.13436692506459952,97.0,2506.0,0.16666666666666669,japan,14.5
dodge colt (sw),0.5053191489361701,0.2,0.07751937984496127,80.0,2164.0,0.16666666666666669,usa,15.0
toyota corolla 1600 (sw),0.4787234042553191,0.2,0.07493540051679592,88.0,2100.0,0.16666666666666669,japan,16.5
buick century 350,0.10638297872340424,1.0,0.7286821705426356,175.0,4100.0,0.25,usa,13.0
amc matador,0.13297872340425532,1.0,0.6098191214470284,150.0,3672.0,0.25,usa,11.5
chevrolet malibu,0.10638297872340424,1.0,0.7286821705426356,145.0,3988.0,0.25,usa,13.0
ford gran torino,0.13297872340425532,1.0,0.6046511627906976,137.0,4042.0,0.25,usa,14.5
dodge coronet custom,0.1595744680851064,1.0,0.6459948320413438,150.0,3777.0,0.25,usa,12.5
mercury marquis brougham,0.07978723404255322,1.0,0.9328165374677003,198.0,4952.0,0.25,usa,11.5
chevrolet caprice classic,0.10638297872340424,1.0,0.8578811369509044,150.0,4464.0,0.25,usa,12.0
ford ltd,0.10638297872340424,1.0,0.7312661498708011,158.0,4363.0,0.25,usa,13.0
plymouth fury gran sedan,0.13297872340425532,1.0,0.6459948320413438,150.0,4237.0,0.25,usa,14.5
chrysler new yorker brougham,0.10638297872340424,1.0,0.9612403100775194,215.0,4735.0,0.25,usa,11.0
buick electra 225 custom,0.07978723404255322,1.0,1.0,225.0,4951.0,0.25,usa,11.0
amc ambassador brougham,0.10638297872340424,1.0,0.7545219638242895,175.0,3821.0,0.25,usa,11.0
plymouth valiant,0.23936170212765956,0.6,0.40568475452196384,105.0,3121.0,0.25,usa,16.5
chevrolet nova custom,0.18617021276595744,0.6,0.4702842377260982,100.0,3278.0,0.25,usa,18.0
amc hornet,0.23936170212765956,0.6,0.42377260981912146,100.0,2945.0,0.25,usa,16.0
ford maverick,0.23936170212765956,0.6,0.4702842377260982,88.0,3021.0,0.25,usa,16.5
plymouth duster,0.3723404255319149,0.6,0.3359173126614987,95.0,2904.0,0.25,usa,16.0
volkswagen super beetle,0.45212765957446804,0.2,0.07493540051679592,46.0,1950.0,0.25,europe,21.0
chevrolet impala,0.05319148936170215,1.0,0.8578811369509044,150.0,4997.0,0.25,usa,14.0
ford country,0.07978723404255322,1.0,0.8578811369509044,167.0,4906.0,0.25,usa,12.5
plymouth custom suburb,0.10638297872340424,1.0,0.7545219638242895,170.0,4654.0,0.25,usa,13.0
oldsmobile vista cruiser,0.07978723404255322,1.0,0.7286821705426356,180.0,4499.0,0.25,usa,12.5
amc gremlin,0.23936170212765956,0.6,0.42377260981912146,100.0,2789.0,0.25,usa,15.0
toyota carina,0.29255319148936165,0.2,0.07493540051679592,88.0,2279.0,0.25,japan,19.0
chevrolet vega,0.3191489361702127,0.2,0.186046511627907,72.0,2401.0,0.25,usa,19.5
datsun 610,0.3457446808510638,0.2,0.10335917312661502,94.0,2379.0,0.25,japan,16.5
maxda rx3,0.23936170212765956,0.0,0.00516795865633074,90.0,2124.0,0.25,japan,13.5
ford pinto,0.26595744680851063,0.2,0.13953488372093026,85.0,2310.0,0.25,usa,18.5
mercury capri v6,0.3191489361702127,0.6,0.22480620155038764,107.0,2472.0,0.25,usa,14.0
fiat 124 sport coupe,0.45212765957446804,0.2,0.07751937984496127,90.0,2265.0,0.25,europe,15.5
chevrolet monte carlo s,0.1595744680851064,1.0,0.7286821705426356,145.0,4082.0,0.25,usa,13.0
pontiac grand prix,0.18617021276595744,1.0,0.8578811369509044,230.0,4278.0,0.25,usa,9.5
fiat 128,0.5319148936170213,0.2,0.0,49.0,1867.0,0.25,europe,19.5
opel manta,0.3989361702127659,0.2,0.12403100775193804,75.0,2158.0,0.25,europe,15.5
audi 100ls,0.29255319148936165,0.2,0.11886304909560727,91.0,2582.0,0.25,europe,14.0
volvo 144ea,0.26595744680851063,0.2,0.1369509043927649,112.0,2868.0,0.25,europe,15.5
dodge dart custom,0.1595744680851064,1.0,0.6459948320413438,150.0,3399.0,0.25,usa,11.0
saab 99le,0.3989361702127659,0.2,0.1369509043927649,110.0,2660.0,0.25,europe,14.0
toyota mark ii,0.29255319148936165,0.6,0.227390180878553,122.0,2807.0,0.25,japan,13.5
oldsmobile omega,0.05319148936170215,1.0,0.7286821705426356,180.0,3664.0,0.25,usa,11.0
plymouth duster,0.29255319148936165,0.6,0.3359173126614987,95.0,3102.0,0.33333333333333337,usa,16.5
ford maverick,0.3191489361702127,0.6,0.3410852713178295,104.31770833333333,2875.0,0.33333333333333337,usa,17.0
amc hornet,0.26595744680851063,0.6,0.42377260981912146,104.31770833333333,2901.0,0.33333333333333337,usa,16.0
chevrolet nova,0.1595744680851064,0.6,0.4702842377260982,100.0,3336.0,0.33333333333333337,usa,17.0
datsun b210,0.5851063829787233,0.2,0.028423772609819153,67.0,1950.0,0.33333333333333337,japan,19.0
ford pinto,0.45212765957446804,0.2,0.13953488372093026,80.0,2451.0,0.33333333333333337,usa,16.5
chevrolet vega,0.42553191489361697,0.2,0.186046511627907,75.0,2542.0,0.33333333333333337,usa,17.0
chevrolet chevelle malibu classic,0.18617021276595744,0.6,0.4702842377260982,100.0,3781.0,0.33333333333333337,usa,17.0
amc matador,0.18617021276595744,0.6,0.4909560723514212,110.0,3632.0,0.33333333333333337,usa,18.0
plymouth satellite sebring,0.23936170212765956,0.6,0.40568475452196384,105.0,3613.0,0.33333333333333337,usa,16.5
ford gran torino,0.18617021276595744,1.0,0.6046511627906976,104.31770833333333,4141.0,0.33333333333333337,usa,14.0
buick century luxus (sw),0.10638297872340424,1.0,0.7286821705426356,150.0,4699.0,0.33333333333333337,usa,14.5
dodge coronet custom (sw),0.13297872340425532,1.0,0.6459948320413438,150.0,4457.0,0.33333333333333337,usa,13.5
ford gran torino (sw),0.13297872340425532,1.0,0.6046511627906976,140.0,4638.0,0.33333333333333337,usa,16.0
amc matador (sw),0.13297872340425532,1.0,0.6098191214470284,150.0,4257.0,0.33333333333333337,usa,15.5
audi fox,0.5319148936170213,0.2,0.07751937984496127,83.0,2219.0,0.33333333333333337,europe,16.5
volkswagen dasher,0.45212765957446804,0.2,0.028423772609819153,67.0,1963.0,0.33333333333333337,europe,15.5
opel manta,0.45212765957446804,0.2,0.07493540051679592,78.0,2300.0,0.33333333333333337,europe,14.5
toyota corona,0.5851063829787233,0.2,0.020671834625323016,52.0,1649.0,0.33333333333333337,japan,16.5
datsun 710,0.6117021276595744,0.2,0.038759689922480633,61.0,2003.0,0.33333333333333337,japan,19.0
dodge colt,0.5053191489361701,0.2,0.05684754521963831,75.0,2125.0,0.33333333333333337,usa,14.5
fiat 128,0.3989361702127659,0.2,0.05684754521963831,75.0,2108.0,0.33333333333333337,europe,15.5
fiat 124 tc,0.45212765957446804,0.2,0.12403100775193804,75.0,2246.0,0.33333333333333337,europe,14.0
honda civic,0.3989361702127659,0.2,0.13436692506459952,97.0,2489.0,0.33333333333333337,japan,15.0
subaru,0.45212765957446804,0.2,0.10335917312661502,93.0,2391.0,0.33333333333333337,japan,15.5
fiat x1.9,0.5851063829787233,0.2,0.028423772609819153,67.0,2000.0,0.33333333333333337,europe,16.0
plymouth valiant custom,0.26595744680851063,0.6,0.40568475452196384,95.0,3264.0,0.41666666666666674,usa,16.0
chevrolet nova,0.23936170212765956,0.6,0.4702842377260982,105.0,3459.0,0.41666666666666674,usa,16.0
mercury monarch,0.1595744680851064,0.6,0.4702842377260982,72.0,3432.0,0.41666666666666674,usa,21.0
ford maverick,0.1595744680851064,0.6,0.4702842377260982,72.0,3158.0,0.41666666666666674,usa,19.5
pontiac catalina,0.18617021276595744,1.0,0.8578811369509044,170.0,4668.0,0.41666666666666674,usa,11.5
chevrolet bel air,0.1595744680851064,1.0,0.7286821705426356,145.0,4440.0,0.41666666666666674,usa,14.0
plymouth grand fury,0.18617021276595744,1.0,0.6459948320413438,150.0,4498.0,0.41666666666666674,usa,14.5
ford ltd,0.13297872340425532,1.0,0.7312661498708011,148.0,4657.0,0.41666666666666674,usa,13.5
buick century,0.2127659574468085,0.6,0.4211886304909561,110.0,3907.0,0.41666666666666674,usa,21.0
chevroelt chevelle malibu,0.18617021276595744,0.6,0.4702842377260982,105.0,3897.0,0.41666666666666674,usa,18.5
amc matador,0.1595744680851064,0.6,0.4909560723514212,110.0,3730.0,0.41666666666666674,usa,19.0
plymouth fury,0.23936170212765956,0.6,0.40568475452196384,95.0,3785.0,0.41666666666666674,usa,19.0
buick skyhawk,0.3191489361702127,0.6,0.4211886304909561,110.0,3039.0,0.41666666666666674,usa,15.0
chevrolet monza 2+2,0.29255319148936165,1.0,0.5012919896640827,110.0,3221.0,0.41666666666666674,usa,13.5
ford mustang ii,0.10638297872340424,1.0,0.6046511627906976,129.0,3169.0,0.41666666666666674,usa,12.0
toyota corolla,0.5319148936170213,0.2,0.07493540051679592,75.0,2171.0,0.41666666666666674,japan,16.0
ford pinto,0.3723404255319149,0.2,0.186046511627907,83.0,2639.0,0.41666666666666674,usa,17.0
amc gremlin,0.29255319148936165,0.6,0.42377260981912146,100.0,2914.0,0.41666666666666674,usa,16.0
pontiac astro,0.3723404255319149,0.2,0.186046511627907,78.0,2592.0,0.41666666666666674,usa,18.5
toyota corona,0.3989361702127659,0.2,0.17054263565891475,96.0,2702.0,0.41666666666666674,japan,13.5
volkswagen dasher,0.42553191489361697,0.2,0.05684754521963831,71.0,2223.0,0.41666666666666674,europe,16.5
datsun 710,0.3989361702127659,0.2,0.13178294573643412,97.0,2545.0,0.41666666666666674,japan,17.0
ford pinto,0.23936170212765956,0.6,0.2661498708010336,97.0,2984.0,0.41666666666666674,usa,14.5
volkswagen rabbit,0.5319148936170213,0.2,0.05684754521963831,70.0,1937.0,0.41666666666666674,europe,14.0
amc pacer,0.26595744680851063,0.6,0.42377260981912146,90.0,3211.0,0.41666666666666674,usa,17.0
audi 100ls,0.3723404255319149,0.2,0.12144702842377264,95.0,2694.0,0.41666666666666674,europe,15.0
peugeot 504,0.3723404255319149,0.2,0.13436692506459952,88.0,2957.0,0.41666666666666674,europe,17.0
volvo 244dl,0.3457446808510638,0.2,0.1369509043927649,98.0,2945.0,0.41666666666666674,europe,14.5
saab 99le,0.42553191489361697,0.2,0.1369509043927649,115.0,2671.0,0.41666666666666674,europe,13.5
honda civic cvcc,0.6382978723404256,0.2,0.05943152454780365,53.0,1795.0,0.41666666666666674,japan,17.5
fiat 131,0.5053191489361701,0.2,0.10077519379844965,86.0,2464.0,0.5000000000000001,europe,15.5
opel 1900,0.42553191489361697,0.2,0.12403100775193804,81.0,2220.0,0.5000000000000001,europe,16.9
capri ii,0.42553191489361697,0.2,0.186046511627907,92.0,2572.0,0.5000000000000001,usa,14.9
dodge colt,0.45212765957446804,0.2,0.07751937984496127,79.0,2255.0,0.5000000000000001,usa,17.7
renault 12tl,0.4787234042553191,0.2,0.0852713178294574,83.0,2202.0,0.5000000000000001,europe,15.3
chevrolet chevelle malibu classic,0.22606382978723402,1.0,0.6124031007751938,140.0,4215.0,0.5000000000000001,usa,13.0
dodge coronet brougham,0.18617021276595744,1.0,0.6459948320413438,150.0,4190.0,0.5000000000000001,usa,13.0
amc matador,0.1728723404255319,1.0,0.6098191214470284,120.0,3962.0,0.5000000000000001,usa,13.9
ford gran torino,0.14627659574468083,1.0,0.7312661498708011,152.0,4215.0,0.5000000000000001,usa,12.8
plymouth valiant,0.3457446808510638,0.6,0.40568475452196384,100.0,3233.0,0.5000000000000001,usa,15.4
chevrolet nova,0.3457446808510638,0.6,0.4702842377260982,105.0,3353.0,0.5000000000000001,usa,14.5
ford maverick,0.3989361702127659,0.6,0.3410852713178295,81.0,3012.0,0.5000000000000001,usa,17.6
amc hornet,0.3590425531914893,0.6,0.42377260981912146,90.0,3085.0,0.5000000000000001,usa,17.6
chevrolet chevette,0.5319148936170213,0.2,0.043927648578811374,52.0,2035.0,0.5000000000000001,usa,22.2
chevrolet woody,0.41223404255319146,0.2,0.07751937984496127,60.0,2164.0,0.5000000000000001,usa,22.1
vw rabbit,0.5319148936170213,0.2,0.05684754521963831,70.0,1937.0,0.5000000000000001,europe,14.2
honda civic,0.6382978723404256,0.2,0.05943152454780365,53.0,1795.0,0.5000000000000001,japan,17.4
dodge aspen se,0.29255319148936165,0.6,0.40568475452196384,100.0,3651.0,0.5000000000000001,usa,17.7
ford granada ghia,0.23936170212765956,0.6,0.4702842377260982,78.0,3574.0,0.5000000000000001,usa,21.0
pontiac ventura sj,0.25265957446808507,0.6,0.4702842377260982,110.0,3645.0,0.5000000000000001,usa,16.2
amc pacer d/l,0.22606382978723402,0.6,0.4909560723514212,95.0,3193.0,0.5000000000000001,usa,17.8
volkswagen rabbit,0.5452127659574467,0.2,0.07493540051679592,71.0,1825.0,0.5000000000000001,europe,12.2
datsun b-210,0.6117021276595744,0.2,0.043927648578811374,70.0,1990.0,0.5000000000000001,japan,17.0
